PS224|Anason|Anason|Pimpinella anisum|Anise|40-1362|ANISE - ÁNIZS - АНИС - АНИС|Plantă anuală aromatică. Fructele intens aromate se utilizează sub formă de codiment în sosuri şi salate, precum şi in industria farmaceutică sub formă de ceaiuri, siropuri sau alte preparate.|Annual aromatic plant. Its intensely flavoured fruit is used as spice for sauces and salads, as well as in the pharmaceutical industry as teas, syrups or other preparations. |Aromás évi növény. Erősen aromás gyümölcseit fűszerként használják szószban vagy salátában, valamint a gyógyszeriparban is, tea, szirup vagy egyéb készítmény formájában.|Jednogodišnja aromatična biljka. Plodovi intenzivne arome koriste se kao začini u sosovima i salatama, kao i u farmaceutskoj industriji u obliku čajeva, sirupa i drugih preparata. | Ароматическое однолетнее растение. Сильно ароматизированные фрукты. Используется как пряность в соусах и салатах, а также в фармацевтической промышленности в виде чаев, сиропов и других препаратов.|-|II-IV|-|50 X 30|VII-IX|A
PS066|Busuioc|Busuioc|Ocimum basilicum|Genova|A-1214|BASIL - BAZSALIKOM - БОСИЉАК - БАЗИЛИК |Producţie ridicată. Dimensiune: 70-80 cm. Utilizare în stare proaspătă sau deshidratată. Creştere rapidă.|High productivity. Size: 70 – 80 cm. For use in fresh or dehydrated state. Rapid growth.|Bő termésű. Mérete 70-80cm. Frissen vagy szárítva használatos. Gyors növésű. |Produktivnost velika. Dimenzije 70-80 cm. Upotrebiti se sveze ili suvo. Raste brzo.|Высокая продуктивность. Размер: 70-80 см. Можно использовать в свежем или обезвоженном виде. Быстрый рост.|II-III|III-IV|IV-V|20X10|VI-X|A
PS225|Busuioc roșu|Busuioc roşu|Ocimum bassilicum|Foglia Violetta|3-144|BASIL - BAZSALIKOM - БОСИЉАК - БАЗИЛИК |Plantă aromatică anuală. Frunzele de culoare roşie sunt puternic aromate. Utilizare în stare proaspătă sau deshidratată. |Annual aromatic plant. Its red leaves have a very strong flavour. It can be used fresh or dehydrated. |Aromás évi növény. Vörös színű levelei erősen aromásak. Használható friss vagy szárított állapotban.|Jednogodišnja aromatična biljka. Listovi crvene boje intenzivne arome. Upotrebljava se u svežem stanju ili osušena. |Ароматическое однолетнее растение. Красные листья, сильно ароматные. Используются свежие или сушеные.|III|IV-VI|V-VI|20X25|VI-X|A
PS207|Cimbrişor|Cimbrişor|Thymus vulgaris|Timo|40-1470|THYME - KAKUKKFŰ - МАЈЧИНА ДУШИЦА - ТИМЬЯН|Plantă aromatică perenă, de talie mică. Se cultivă pentru frunze şi inflorescenţe, cu utilizare în stare proaspătă şi uscată.|Small sized perennial aromatic plant. It is grown for its leaves and flowers, and is used fresh or dried. |Évelő aromás növény, kis termetű. Levelei és virágzata miatt termelik, friss és száraz állapotú használatra.|Višegodišnja niska aromatična biljka. Uzgaja se radi listova i cvetnih izdanaka koji se koriste sveži ili sušeni. |Ароматическое многолетнее растение, малых размеров, Выращиваются для листвы и цветов, используются свежими и сухими.|I-XII|III-X |V-X|20X10|V-IX|A
PS067|Cimbru|Cimbru|Satureja hortensis|Summer Savory|40-1326|THYME - KAKUKKFŰ - ТИМИЈАН -ТИМЬЯН|Plantă anuală tip tufă, foarte aromată, cu frunze înguste. Se foloseşte în stare proaspătă şi uscată la condimentarea alimentelor.|Annual bushy plant, strong flavour. Used fresh and dryed for spicing food.|Bokor fajta, egynyári növény, vékony levelekkel. Frissen vagy szárazon használják az ételek ízesítésére.|Godišnja biljka, oblika žbunja, veoma aromatična sa uzanim lišćem. Koristi se u svežem i suvom stanju za kuhinjske svrhe.      |Однолетнее растение, кустарниковое, очень ароматное, листья узкие. Используется в свежем и сухом виде для приправ пищи. |II-IV|II-VI|IV-V|20X20|VI-X|A
PS068|Coriandru|Coriandru|Coriandrum sativum|Cilantro|40-1345|CORIANDER - KORIANDER - КОРИЈАНДЕР - КОРИАНДР|Plantă anuală. Seminţele coapte au o aromă plăcut condimentată. Frunzele sunt amărui-picante. Se utilizează atât seminţele cât şi frunzele pentru condimentare.|Annual plant. Seeda have a pleasant flavour. The leaves are spicy. Used for seeds and leaves.|Egynyári növény. Az érett magoknak kellemes fűszer aromája van. A levelek kesernyés-pikáns ízűek. A magok és levelek egyaránt fűszerezésre használhatóak.|Godišnja biljka. Semenke imaju prijatan začinski miris. Lišće je gorko – ljuto. Koristi se koliko seme, koliko i lišće kao žacin. |Однолетнее растение. Созревшие семена обладают приятным запахом прянностей.  Листья горьковато-пикантные. Используются как семена, так и листья для приправ. |-|II-III|-|15x15|V-VIII|A
PS226|Fenicul|Fenicul|Foeniculum vulgare|Romanesco|A-1186|FENNEL - GUMÓS ÉDESKÖMÉNY - КОМОРАЧ - ФЕНХЕЛЬ|Plantă legumicolă şi medicinală anuală. Se utilizează atât partea îngroşată de deasupra coletului, cât şi fructele.|Vegetable and medicinal annual plant. Both the bulb-like stem base and the fruit are used. |Éves zöldség- és gyógyszernövény. Használják úgy a csomag feletti megvastagodott részét mint gyümölcseit.|Jednogodišnja lekovita biljka i povrće. Koristi se kako zadebljani deo u osnovi stabljike, tako i listovi. |Однолетнее овощное и лекарственное растение. Используются утолщенные части и фрукты.|III|IV-V|V|50 X 20|VIII-X|A
PS228|Isop|Isop|Hyssopus officinalis|Hyssop|40-1349|HYSSOP - IZSÓP - ИЗОП - ИССОП|Plantă aromatică şi medicinală perenă. Talie 40-60 cm.Se utilizează atât frunzele, cât şi inflorescenţele, în stare proaspătă sau deshidratată. |Plant for culinary and medicinal use. Height 40-60 cm. Both the leaves and the flowers are used, fresh or dehydrated. |Évelő aromás és gyógyszernövény. 40-60 cm-es termet. Használják úgy leveleit mint virágzatát, friss vagy száraz állapotban.|Višegodišnja aromatična i lekovita biljka. Visine 40-60 cm. Koriste se kako listovi, tako i cvast, u svežem stanju ili osušeno. |Ароматическое лекарственное многолетнее растение. Талия 40-60 cm. Используются как листья так и цветы, свежие или сушеные.|I-II|III-IV|IV-V|20x20|V-IX|A
PS069|Jaleș / Salvie medicinală|Jaleș-Salvie medicinală|Salvia officinalis|Broadleaved|40-1324|SAGE - ORVOSI ZSÁLYA - ЖАЛФИЈА - ШАЛФЕЙ ЛЕКАРСТВЕННЫЙ|Plantă perenă cu frunze ovale, flori violete. Se cultivă ca plantă medicinală şi aromatică.|Perrenial plant with oblonged violet flowers. Grown for culinary and aromatic purposes.|Évelő növény, ovális levelekkel, lila virágokkal. Gyógynövényként és aromájáért termesztik.|Biljka sa jajastim lišćem, ljubičastim cvetom. Gaji se kao medicinska biljka i kao zaćin.   |Многолетнее растение с овальными листьями, цветы фиолетового цвета. Культивируется как лекарственное так и ароматическое растение.|II-III|III-V|III-IV|20X20|VI-IX|A
PS070|Leuştean|Leuştean|Levisticum officinalis|Lovage|40-1460|LOVAGE - LESTYÁN - СЕЛЕН - ЛЮБИСТОК|Plantă perenă. Se pretează la consum în stare proaspătă / congelare / deshidratare. Se utilizează frunzele, lăstarii şi seminţele.|Perennial plant. Fresh consumption, freeze storage, dehydration. For use: leafs, plants, seeds.|Évelő növény. Frissen/szárítva/fagyasztva fogyasztható. Levelét, sarját, magját használják. |Soj godisnji. Moze se zamrznuti ili susiti. Upotrebljavaju se lastari sto ne cvetaju I lisce.|Многолетнее растение. Рекомендуется к употреблению в свежем/ замороженном/ обезвоженном виде.Употребляются листья, побеги и семена.|-|III-VI|-|20X25|IV-IX|A
